WriteRestartFile checkpoint layout, derived from rosco/controller/src/ROSCO_IO.f90
  items (WRITE statements): 307
  ACC_INFILE extent read from the file: 45
  predicted total bytes: 460813
  vit_chkp36100.RO.chkp: 460813 bytes
  LAYOUT CHECK: PASS

CENSUS over 195 reference checkpoint(s) in pre
  distinct file lengths: [460813]
  laid out with this table: 195 of 195  (the rest have a different ACC_INFILE extent)
  VARIES across the corpus : 180
  constant and NON-zero    : 31
  constant and ZERO        : 96   <- no mutant that only moves one of these can die here

  offset   size state      item
     1392      8 const-zero LocalVar%CC_ActuatedL(6)
     1400      8 const-zero LocalVar%CC_ActuatedL(7)
     1408      8 const-zero LocalVar%CC_ActuatedL(8)
     1416      8 const-zero LocalVar%CC_ActuatedL(9)
     1424      8 const-zero LocalVar%CC_ActuatedL(10)
     1432      8 const-zero LocalVar%CC_ActuatedL(11)
     1440      8 const-zero LocalVar%CC_ActuatedL(12)
     1448      8 VARIES     LocalVar%CC_ActuatedDL(1)
     1456      8 VARIES     LocalVar%CC_ActuatedDL(2)
     1464      8 VARIES     LocalVar%CC_ActuatedDL(3)
     1472      8 const-zero LocalVar%CC_ActuatedDL(4)
     1480      8 const-zero LocalVar%CC_ActuatedDL(5)
     1488      8 const-zero LocalVar%CC_ActuatedDL(6)
     1496      8 const-zero LocalVar%CC_ActuatedDL(7)
     1504      8 const-zero LocalVar%CC_ActuatedDL(8)
     1512      8 const-zero LocalVar%CC_ActuatedDL(9)
     1520      8 const-zero LocalVar%CC_ActuatedDL(10)
     1528      8 const-zero LocalVar%CC_ActuatedDL(11)
     1536      8 const-zero LocalVar%CC_ActuatedDL(12)
     1544      8 VARIES     LocalVar%StC_Input(1)
     1552      8 VARIES     LocalVar%StC_Input(2)
     1560      8 VARIES     LocalVar%StC_Input(3)
     1568      8 const-zero LocalVar%StC_Input(4)
     1576      8 const-zero LocalVar%StC_Input(5)
     1584      8 const-zero LocalVar%StC_Input(6)
     1592      8 const-zero LocalVar%StC_Input(7)
     1600      8 const-zero LocalVar%StC_Input(8)
     1608      8 const-zero LocalVar%StC_Input(9)
     1616      8 const-zero LocalVar%StC_Input(10)
     1624      8 const-zero LocalVar%StC_Input(11)
     1632      8 const-zero LocalVar%StC_Input(12)
     1640      8 const-zero LocalVar%Flp_Angle(1)
     1648      8 const-zero LocalVar%Flp_Angle(2)
     1656      8 const-zero LocalVar%Flp_Angle(3)
     1664      8 const-zero LocalVar%RootMyb_Last(1)
     1672      8 const-zero LocalVar%RootMyb_Last(2)
     1680      8 const-zero LocalVar%RootMyb_Last(3)
     1688      4 const      LocalVar%ACC_INFILE_SIZE
     1692     45 VARIES     LocalVar%ACC_INFILE
     1737      4 const-zero LocalVar%restart
     1741     16 VARIES     LocalVar%AWC_complexangle(1)
