reset,minValue,maxValue,error,kp,ki,kd,tf,DT,I0,EFilt,PTerm,ITerm_in,ITerm_upd,ITerm_sat,DTerm,raw,result
1,-500000000.00050002,350000000.00064993,0,0.125,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-1000,300,-600,600,300,-600,0,-0,-997.9026303580531,-997.9026303580531,-997.9026303580531,-1995.9492977457351,-2993.8519281037879,-2993.8519281037879
1,-500000000.00050002,350000000.00064993,0,-1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-1000,300,-600,600,300,-600,0,-0,-997.94755297888048,-997.94755297888048,-997.94755297888048,-1996.0150048295836,-2993.9625578084642,-2993.9625578084642
0,-500000000.00050002,350000000.00064993,0,-1000,300,-600,600,300,-600,nan,-0,-997.85447210400116,-997.85447210400116,-997.85447210400116,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-1000,300,-600,600,300,-600,nan,-0,-997.94155161611047,-997.94155161611047,-997.94155161611047,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,1000,300,-600,600,300,-600,nan,0,-997.79557725551649,-997.79557725551649,-997.79557725551649,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,0,-600,600,300,-600,nan,-0,-997.92225843790607,-997.92225843790607,-997.92225843790607,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,-300,0,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,0,-600,600,300,-600,0,-0,-997.91326530452557,-997.91326530452557,-997.91326530452557,-1996.0809577002437,-2993.9942230047691,-2993.9942230047691
0,-500000000.00050002,350000000.00064993,0,-300,0,-600,600,300,-600,nan,-0,-997.91851892127738,-997.91851892127738,-997.91851892127738,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,0,-600,600,300,-600,nan,-0,-997.95617085755521,-997.95617085755521,-997.95617085755521,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,1,-600,600,300,-600,0,-0,-997.90422503493187,-997.90422503493187,-997.90422503493187,-1995.6289832662633,-2993.5332083011954,-2993.5332083011954
1,-500000000.00050002,350000000.00064993,0,-300,1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,-1,-600,600,300,-600,nan,-0,-997.90830363769101,-997.90830363769101,-997.90830363769101,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,-300,-1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,-1,-600,600,300,-600,0,-0,-998.04658304568488,-998.04658304568488,-998.04658304568488,-1996.0430985971784,-2994.0896816428631,-2994.0896816428631
0,-500000000.00050002,350000000.00064993,0,-300,-1,-600,600,300,-600,nan,-0,-998.04306556225026,-998.04306556225026,-998.04306556225026,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,-1,-600,600,300,-600,nan,-0,-998.02221885782581,-998.02221885782581,-998.02221885782581,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,0.5,-600,600,300,-600,nan,-0,-997.83379748415541,-997.83379748415541,-997.83379748415541,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,-300,0.5,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,0.5,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,0.5,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,0.5,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,-0.25,-600,600,300,-600,0,-0,-997.99118186705459,-997.99118186705459,-997.99118186705459,-1996.0213875966922,-2994.0125694637468,-2994.0125694637468
1,-500000000.00050002,350000000.00064993,0,-300,-0.25,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,-0.25,-600,600,300,-600,0,-0,-998.0356279442326,-998.0356279442326,-998.0356279442326,-1995.7115675189712,-2993.7471954632038,-2993.7471954632038
0,-500000000.00050002,350000000.00064993,0,-300,-0.25,-600,600,300,-600,nan,-0,-997.88060940909531,-997.88060940909531,-997.88060940909531,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,-0.25,-600,600,300,-600,nan,-0,-997.93988334149947,-997.93988334149947,-997.93988334149947,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,0.125,-600,600,300,-600,nan,-0,-998.03279217186571,-998.03279217186571,-998.03279217186571,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,-300,0.125,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,0.125,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,0.125,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0,-300,0.125,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,0,-300,-1000,-600,600,300,-600,nan,-0,-997.88674369315834,-997.88674369315834,-997.88674369315834,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0,-300,-1000,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
